Table_Number,Year,Measure,Age,Indigenous_Status,Service_Type,Client_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
19A.1,2020-21,Recurrent expenditure,All ages,All people,,,,State and territory government expenditure on homelessness services,Service delivery expenditure,,,,,Derived from State and territory governments (unpublished),%,96.3,99.1,97.0,98.0,85.9,96.4,97.2,89.6,96.8
19A.1,2020-21,Recurrent expenditure,All ages,All people,,,,State and territory government expenditure on homelessness services,Administrative expenditure,,,,,Derived from State and territory governments (unpublished),%,3.7,0.9,3.0,2.0,14.1,3.6,2.8,10.4,3.2
19A.1,2019-20,Recurrent expenditure,All ages,All people,,,2022-23 dollars,State and territory government expenditure on homelessness services,Total recurrent real expenditure,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,278.9,412.7,172.5,89.6,76.8,37.0,27.7,42.8,1137.8
19A.1,2019-20,Recurrent expenditure,All ages,All people,,,2022-23 dollars,State and territory government expenditure on homelessness services,Real expenditure per person in the residential population,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,34.48,62.62,33.63,33.32,43.15,66.86,62.82,173.65,44.58
19A.1,2019-20,Recurrent expenditure,All ages,All people,,,,State and territory government expenditure on homelessness services,Service delivery expenditure,,,,,Derived from State and territory governments (unpublished),%,97.0,99.1,96.8,98.3,94.8,96.8,97.6,96.8,97.7
19A.1,2019-20,Recurrent expenditure,All ages,All people,,,,State and territory government expenditure on homelessness services,Administrative expenditure,,,,,Derived from State and territory governments (unpublished),%,3.0,0.9,3.2,1.7,5.2,3.2,2.4,3.2,2.3
19A.1,2018-19,Recurrent expenditure,All ages,All people,,,2022-23 dollars,State and territory government expenditure on homelessness services,Total recurrent real expenditure,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,264.7,378.1,158.8,85.4,76.3,34.8,26.8,41.2,1066.2
19A.1,2018-19,Recurrent expenditure,All ages,All people,,,2022-23 dollars,State and territory government expenditure on homelessness services,Real expenditure per person in the residential population,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,33.08,58.35,31.47,32.39,43.48,64.19,62.10,167.55,42.4
19A.1,2018-19,Recurrent expenditure,All ages,All people,,,,State and territory government expenditure on homelessness services,Service delivery expenditure,,,,,Derived from State and territory governments (unpublished),%,96.8,99.0,96.6,98.0,94.8,96.6,97.5,97.8,97.6
19A.1,2018-19,Recurrent expenditure,All ages,All people,,,,State and territory government expenditure on homelessness services,Administrative expenditure,,,,,Derived from State and territory governments (unpublished),%,3.2,1.0,3.4,2.0,5.2,3.4,2.5,2.2,2.4
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People who are in improvised dwellings; tents or sleeping out,,,ABS Census of Population and Housing: Estimating Homelessness,rate,1.2,1.6,4.0,8.7,1.8,4.1,1.3,28.5,3.0
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People in supported accommodation for the homeless,,,ABS Census of Population and Housing: Estimating Homelessness,rate,6.2,12.0,8.0,6.1,14.0,9.5,19.0,76.1,9.6
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People staying temporarily with other households,,,ABS Census of Population and Housing: Estimating Homelessness,rate,5.1,3.9,9.6,8.0,7.5,10.5,5.9,28.1,6.5
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People staying in boarding houses,,,ABS Census of Population and Housing: Estimating Homelessness,rate,11.0,13.2,5.7,2.4,3.7,4.7,3.0,2.7,8.7
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People in other temporary lodging,,,ABS Census of Population and Housing: Estimating Homelessness,rate,1.8,2.4,0.9,0.4,1.4,0.5,0.1,1.9,1.5
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People living in 'severely' crowded dwellings,,,ABS Census of Population and Housing: Estimating Homelessness,rate,18.1,13.9,15.2,11.0,13.2,12.7,9.8,426.0,18.8
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,Total homeless people,,,ABS Census of Population and Housing: Estimating Homelessness,rate,43.4,47.1,43.5,36.6,41.7,42.1,39.1,563.6,48.2
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People who are in improvised dwellings; tents or sleeping out,,,ABS Census of Population and Housing: Estimating Homelessness,no.,963.0,1023.0,2050.0,2315.0,323.0,231,59,662.0,7636.0
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People in supported accommodation for the homeless,,,ABS Census of Population and Housing: Estimating Homelessness,no.,5043.0,7831.0,4137.0,1614.0,2501.0,531,862,1769.0,24291.0
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People staying temporarily with other households,,,ABS Census of Population and Housing: Estimating Homelessness,no.,4100.0,2549.0,4968.0,2125.0,1337.0,588,269,653.0,16597.0
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People staying in boarding houses,,,ABS Census of Population and Housing: Estimating Homelessness,no.,8842.0,8599.0,2946.0,631.0,658.0,261,138,62.0,22137.0
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People in other temporary lodging,,,ABS Census of Population and Housing: Estimating Homelessness,no.,1427.0,1583.0,485.0,107.0,257.0,29,6,44.0,3934.0
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People living in 'severely' crowded dwellings,,,ABS Census of Population and Housing: Estimating Homelessness,no.,14640.0,9068.0,7839.0,2935.0,2352.0,709,447,9904.0,47895.0
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,Total homeless people,,,ABS Census of Population and Housing: Estimating Homelessness,no.,35011.0,30660.0,22428.0,9729.0,7428.0,2350,1777,13104.0,122494.0
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People who are in improvised dwellings; tents or sleeping out,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,2.8,3.3,9.1,23.8,4.3,9.8,3.3,5.1,6.2
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People in supported accommodation for the homeless,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,14.4,25.5,18.4,16.6,33.7,22.6,48.5,13.5,19.8
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People staying temporarily with other households,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,11.7,8.3,22.2,21.8,18.0,25.0,15.1,5.0,13.5
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People staying in boarding houses,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,25.3,28.0,13.1,6.5,8.9,11.1,7.8,0.5,18.1
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People in other temporary lodging,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,4.1,5.2,2.2,1.1,3.5,1.2,0.3,0.3,3.2
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People living in 'severely' crowded dwellings,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,41.8,29.6,35.0,30.2,31.7,30.2,25.2,75.6,39.1
19A.2,2021,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,Total homeless people,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People who are in improvised dwellings; tents or sleeping out,,,ABS Census of Population and Housing: Estimating Homelessness,rate,3.5,1.9,3.7,4.4,2.3,2.7,1.4,48.0,3.5
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People in supported accommodation for the homeless,,,ABS Census of Population and Housing: Estimating Homelessness,rate,7.8,12.1,7.9,4.3,8.5,11.3,20.0,27.8,9.1
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People staying temporarily with other households,,,ABS Census of Population and Housing: Estimating Homelessness,rate,7.2,5.2,10.2,7.9,7.9,9.4,6.9,18.1,7.6
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People staying in boarding houses,,,ABS Census of Population and Housing: Estimating Homelessness,rate,9.2,7.4,7.7,4.0,5.4,2.7,2.4,21.2,7.5
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People in other temporary lodging,,,ABS Census of Population and Housing: Estimating Homelessness,rate,0.3,0.2,0.4,0.2,0.2,0.5,0.1,0.8,0.3
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People living in 'severely' crowded dwellings,,,ABS Census of Population and Housing: Estimating Homelessness,rate,22.5,15.1,16.2,15.6,12.8,5.2,9.3,483.7,21.8
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,Total homeless people,,,ABS Census of Population and Housing: Estimating Homelessness,rate,50.4,41.9,46.1,36.4,37.1,31.8,40.2,599.6,49.8
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People who are in improvised dwellings; tents or sleeping out,,,ABS Census of Population and Housing: Estimating Homelessness,no.,2588.0,1123.0,1736.0,1083.0,387.0,139,54,1097.0,8200.0
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People in supported accommodation for the homeless,,,ABS Census of Population and Housing: Estimating Homelessness,no.,5861.0,7157.0,3722.0,1054.0,1433.0,574,793,636.0,21235.0
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People staying temporarily with other households,,,ABS Census of Population and Housing: Estimating Homelessness,no.,5350.0,3091.0,4796.0,1950.0,1323.0,479,275,415.0,17725.0
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People staying in boarding houses,,,ABS Census of Population and Housing: Estimating Homelessness,no.,6869.0,4406.0,3600.0,991.0,906.0,139,97,486.0,17503.0
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People in other temporary lodging,,,ABS Census of Population and Housing: Estimating Homelessness,no.,222.0,108.0,211.0,51.0,31.0,25,3,18.0,678.0
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People living in 'severely' crowded dwellings,,,ABS Census of Population and Housing: Estimating Homelessness,no.,16821.0,8930.0,7601.0,3871.0,2140.0,267,370,11065.0,51088.0
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,Total homeless people,,,ABS Census of Population and Housing: Estimating Homelessness,no.,37715.0,24817.0,21671.0,9005.0,6224.0,1622,1596,13717.0,116427.0
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People who are in improvised dwellings; tents or sleeping out,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,6.9,4.5,8.0,12.0,6.2,8.6,3.4,8.0,7.0
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People in supported accommodation for the homeless,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,15.5,28.8,17.2,11.7,23.0,35.4,49.7,4.6,18.2
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People staying temporarily with other households,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,14.2,12.5,22.1,21.7,21.3,29.5,17.2,3.0,15.2
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People staying in boarding houses,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,18.2,17.8,16.6,11.0,14.6,8.6,6.1,3.5,15.0
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People in other temporary lodging,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,0.6,0.4,1.0,0.6,0.5,1.5,0.2,0.1,0.6
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People living in 'severely' crowded dwellings,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,44.6,36.0,35.1,43.0,34.4,16.5,23.2,80.7,43.9
19A.2,2016,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,Total homeless people,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People who are in improvised dwellings; tents or sleeping out,,,ABS Census of Population and Housing: Estimating Homelessness,rate,2.8,2.0,3.7,4.1,1.6,3.2,0.8,40.0,3.2
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People in supported accommodation for the homeless,,,ABS Census of Population and Housing: Estimating Homelessness,rate,7.1,14.6,8.7,4.2,10.1,9.7,30.9,26.7,9.9
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People staying temporarily with other households,,,ABS Census of Population and Housing: Estimating Homelessness,rate,7.1,6.2,10.0,9.7,8.7,10.1,8.9,20.2,8.1
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People staying in boarding houses,,,ABS Census of Population and Housing: Estimating Homelessness,rate,8.4,7.3,6.9,4.2,5.1,3.8,0.2,13.9,6.9
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People in other temporary lodging,,,ABS Census of Population and Housing: Estimating Homelessness,rate,0.4,0.2,0.5,0.3,0.2,0.4,0.1,0.9,0.3
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,People living in 'severely' crowded dwellings,,,ABS Census of Population and Housing: Estimating Homelessness,rate,14.0,11.2,14.3,18.6,10.7,3.7,7.8,621.7,19.2
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,Per 10000 people,Rate per 10000 people in the population,Total homeless people,,,ABS Census of Population and Housing: Estimating Homelessness,rate,39.7,41.7,43.9,41.1,36.4,31.0,48.7,723.7,47.6
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People who are in improvised dwellings; tents or sleeping out,,,ABS Census of Population and Housing: Estimating Homelessness,no.,1924.0,1090.0,1584.0,929.0,258.0,156,28,848.0,6810.0
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People in supported accommodation for the homeless,,,ABS Census of Population and Housing: Estimating Homelessness,no.,4924.0,7840.0,3787.0,931.0,1620.0,479,1103,566.0,21258.0
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People staying temporarily with other households,,,ABS Census of Population and Housing: Estimating Homelessness,no.,4937.0,3323.0,4311.0,2170.0,1390.0,501,319,428.0,17374.0
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People staying in boarding houses,,,ABS Census of Population and Housing: Estimating Homelessness,no.,5793.0,3933.0,2987.0,936.0,808.0,189,6,295.0,14944.0
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People in other temporary lodging,,,ABS Census of Population and Housing: Estimating Homelessness,no.,244.0,95.0,196.0,75.0,27.0,21,3,20.0,682.0
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,People living in 'severely' crowded dwellings,,,ABS Census of Population and Housing: Estimating Homelessness,no.,9655.0,6022.0,6187.0,4153.0,1714.0,183,278,13170.0,41370.0
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Number,Total homeless people,,,ABS Census of Population and Housing: Estimating Homelessness,no.,27479.0,22306.0,19039.0,9191.0,5816.0,1537,1738,15330.0,102439.0
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People who are in improvised dwellings; tents or sleeping out,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,7.0,4.9,8.3,10.1,4.4,10.1,1.6,5.5,6.6
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People in supported accommodation for the homeless,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,17.9,35.1,19.9,10.1,27.9,31.2,63.5,3.7,20.8
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People staying temporarily with other households,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,18.0,14.9,22.6,23.6,23.9,32.6,18.4,2.8,17.0
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People staying in boarding houses,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,21.1,17.6,15.7,10.2,13.9,12.3,0.3,1.9,14.6
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People in other temporary lodging,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,0.9,0.4,1.0,0.8,0.5,1.4,0.2,0.1,0.7
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,People living in 'severely' crowded dwellings,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,35.1,27.0,32.5,45.2,29.5,11.9,16.0,85.9,40.4
19A.2,2011,Homelessness; by homelessness operational group,All ages,All people,,,,Homeless people by homelessness operational group,,Proportion,Total homeless people,,,Derived from ABS Census of Population and Housing: Estimating Homelessness,%,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
19A.3,2022-23,Composition of support provided,All ages,All people,Accommodation/accommodation related assistance,,,Composition of support provided,Clients receiving support services,Accommodation/accommodation related assistance,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,23.4,29.8,34.1,45.9,18.6,52.3,45.5,50.1,30.6
19A.3,2022-23,Composition of support provided,All ages,All people,Assistance to sustain housing tenure,,,Composition of support provided,Clients receiving support services,Assistance to sustain housing tenure,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,25.3,27.0,31.5,14.5,23.1,11.5,30.9,15.9,25.1
19A.3,2022-23,Composition of support provided,All ages,All people,Mental health services,,,Composition of support provided,Clients receiving support services,Mental health services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.2,4.4,3.7,5.8,0.1,7.6,9.6,3.5,4.4
19A.3,2022-23,Composition of support provided,All ages,All people,Family/relationship assistance,,,Composition of support provided,Clients receiving support services,Family services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,6.0,4.1,4.4,7.7,4.3,4.9,12.8,6.0,5.1
19A.3,2022-23,Composition of support provided,All ages,All people,Disability services,,,Composition of support provided,Clients receiving support services,Disability services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,0.7,0.7,0.7,0.7,0.0,0.9,3.1,0.5,0.7
19A.3,2022-23,Composition of support provided,All ages,All people,Drug/alcohol counselling,,,Composition of support provided,Clients receiving support services,Drug/alcohol assistance,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,1.3,1.3,1.2,3.0,0.1,3.6,2.6,1.0,1.4
19A.3,2022-23,Composition of support provided,All ages,All people,Legal/financial services,,,Composition of support provided,Clients receiving support services,Legal/financial services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,2.7,2.4,2.6,4.1,1.5,2.2,8.5,4.0,2.7
19A.3,2022-23,Composition of support provided,All ages,All people,Immigration/cultural services,,,Composition of support provided,Clients receiving support services,Immigration/cultural services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.0,4.4,3.0,19.1,4.6,1.0,8.2,6.6,5.6
19A.3,2022-23,Composition of support provided,All ages,All people,Domestic/family violence services,,,Composition of support provided,Clients receiving support services,Domestic/family violence services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,17.3,27.2,16.2,33.9,20.5,6.6,13.9,37.2,22.6
19A.3,2022-23,Composition of support provided,All ages,All people,Other specialist services,,,Composition of support provided,Clients receiving support services,Other specialist services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,16.3,10.6,10.4,17.8,8.9,14.3,19.3,14.0,12.6
19A.3,2022-23,Composition of support provided,All ages,All people,General services,,,Composition of support provided,Clients receiving support services,General services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,90.7,82.8,87.1,93.7,99.0,89.7,93.2,88.2,87.9
19A.3,2022-23,Composition of support provided,All ages,All people,,,,Composition of support provided,Total clients,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,68388.0,98343.0,45469.0,24466.0,19422.0,6672,3946,10110.0,273648.0
19A.3,2022-23,Composition of support provided,All ages,All people,,,,Composition of support provided,Total support days,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,'000 days,7357.0,9750.0,4654.0,2006.0,2058.0,927,715,937.0,28403.0
19A.3,2022-23,Composition of support provided,All ages,All people,,,,Composition of support provided,Total support periods,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,97615.0,206162.0,64741.0,38184.0,36993.0,14195,5550,15931.0,479371.0
19A.3,2022-23,Composition of support provided,All ages,All people,,,,Composition of support provided,Total closed support periods,,,,,AIHW (unpublished) Specialist Homelessness Services Collection,no.,77193.0,179625.0,51212.0,32003.0,30306.0,11756,3664,13274.0,399033.0
19A.3,2021-22,Composition of support provided,All ages,All people,Accommodation/accommodation related assistance,,,Composition of support provided,Clients receiving support services,Accommodation/accommodation related assistance,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,21.9,30.5,33.4,47.2,19.0,50.0,45.2,46.3,30.5
19A.3,2021-22,Composition of support provided,All ages,All people,Assistance to sustain housing tenure,,,Composition of support provided,Clients receiving support services,Assistance to sustain housing tenure,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,27.3,27.7,30.2,15.3,23.7,12.8,33.0,16.9,25.8
19A.3,2021-22,Composition of support provided,All ages,All people,Mental health services,,,Composition of support provided,Clients receiving support services,Mental health services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.1,4.3,3.8,4.9,0.2,6.2,9.7,3.0,4.2
19A.3,2021-22,Composition of support provided,All ages,All people,Family/relationship assistance,,,Composition of support provided,Clients receiving support services,Family services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,5.9,4.2,4.1,6.4,6.6,3.2,12.8,7.1,5.1
19A.3,2021-22,Composition of support provided,All ages,All people,Disability services,,,Composition of support provided,Clients receiving support services,Disability services,,,,AIHW (unpublished) Specialist Homelessness Services Collection,%,0.6,0.9,0.7,0.6,0.0,0.9,2.4,0.5,0.7
