"Table_Number","Year","Measure","Indigenous_Status","Remoteness","Housing_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"18A.1","2020-21","Recurrent expenditure","All people","All areas","Public housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","Public housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1036.4","649.4","486.3","497.5","355.4","62.4","144.6","97.7","","3329.7"
"18A.1","2020-21","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","State owned and managed Indigenous housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","50.6","..","42.2","..","15.1","1.5","..","90.5","","199.9"
"18A.1","2020-21","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","All social housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1485.2","951.1","688.1","628.3","466.9","179.6","150.9","228.2","","4778.3"
"18A.1","2020-21","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Capital expenditure","","All social housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","604.0","689.3","341.1","58.9","147.1","81.3","22.5","249.7","","2194.0"
"18A.1","2020-21","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Total","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","2089.1","1640.5","1029.3","687.2","614.0","260.9","173.4","477.9","","6972.2"
"18A.1","2020-21","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","per person in the population","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","183.48","144.83","132.73","230.29","260.17","319.62","337.06","920.85","","186.43"
"18A.1","2019-20","Recurrent expenditure","All people","All areas","Public housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","Public housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1027.1","537.5","526.9","529.4","413.5","66.3","150.4","96.8","","3347.9"
"18A.1","2019-20","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","State owned and managed Indigenous housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","52.8","..","47.4","..","22.9","1.6","..","90.0","","214.7"
"18A.1","2019-20","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","All social housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1412.6","726.1","749.9","695.6","537.8","158.1","155.1","189.8","","4625.0"
"18A.1","2019-20","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Capital expenditure","","All social housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","398.8","265.3","403.5","32.1","131.5","68.8","14.5","223.3","","1538.0"
"18A.1","2019-20","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Total","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1811.4","991.4","1153.5","727.8","669.3","226.9","169.6","413.1","","6163.0"
"18A.1","2019-20","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","per person in the population","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","174.64","110.18","146.20","258.72","302.32","285.65","352.36","770.71","","181.23"
"18A.1","2018-19","Recurrent expenditure","All people","All areas","Public housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","Public housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1118.4","525.2","534.7","521.8","308.3","66.7","146.1","102.7","","3323.9"
"18A.1","2018-19","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","State owned and managed Indigenous housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","52.6","..","49.4","..","21.9","1.7","..","112.8","","238.6"
"18A.1","2018-19","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","All social housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1453.9","660.0","763.7","689.3","358.4","118.4","151.8","216.2","","4411.7"
"18A.1","2018-19","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Capital expenditure","","All social housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","399.0","295.6","373.7","18.2","180.4","64.9","6.4","292.6","","1630.8"
"18A.1","2018-19","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Total","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1852.9","955.6","1137.3","707.5","538.8","183.3","158.2","508.8","","6042.5"
"18A.1","2018-19","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","per person in the population","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","181.66","101.85","151.33","261.45","204.16","218.03","352.37","879.28","","175.44"
"18A.1","2017-18","Recurrent expenditure","All people","All areas","Public housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","Public housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1226.7","464.2","526.4","544.1","314.3","68.5","139.1","106.0","","3389.2"
"18A.1","2017-18","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","State owned and managed Indigenous housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","53.5","..","46.3","..","22.4","1.8","..","99.0","","223.0"
"18A.1","2017-18","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","All social housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1545.2","596.5","740.7","789.9","364.5","152.2","144.6","205.2","","4538.8"
"18A.1","2017-18","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Capital expenditure","","All social housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","536.1","306.5","432.9","38.9","195.1","37.1","-3.3","210.2","","1753.6"
"18A.1","2017-18","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Total","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","2081.3","903.0","1173.5","828.9","559.7","189.4","141.3","415.4","","6292.5"
"18A.1","2017-18","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","per person in the population","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","195.57","93.81","149.30","303.83","210.03","286.40","344.09","831.29","","183.32"
"18A.2","2022-23","Properties transferred to community housing","All people","All areas","Community housing","2022-23 dollars","Property transferred from state and territory housing authorities to community housing organisations","Value of property transferred","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","483.8","0","5.5","0","0","6.5","0","26.7","",""
"18A.2","2022-23","Properties transferred to community housing","All people","All areas","Community housing","","Property transferred from state and territory housing authorities to community housing organisations","Number of dwellings transferred","","","","","","State and territory governments (unpublished)","no.","1056","0","32","0","0","54","0","60","",""
"18A.2","2021-22","Properties transferred to community housing","All people","All areas","Community housing","2022-23 dollars","Property transferred from state and territory housing authorities to community housing organisations","Value of property transferred","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","287.3","0","0.3","0","0","638.6","0","0.4","",""
"18A.2","2021-22","Properties transferred to community housing","All people","All areas","Community housing","","Property transferred from state and territory housing authorities to community housing organisations","Number of dwellings transferred","","","","","","State and territory governments (unpublished)","no.","558","0","1","0","0","2027","0","12","",""
"18A.2","2020-21","Properties transferred to community housing","All people","All areas","Community housing","2022-23 dollars","Property transferred from state and territory housing authorities to community housing organisations","Value of property transferred","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","20.9","0","0","0","78.4","2.6","0","0","",""
"18A.2","2020-21","Properties transferred to community housing","All people","All areas","Community housing","","Property transferred from state and territory housing authorities to community housing organisations","Number of dwellings transferred","","","","","","State and territory governments (unpublished)","no.","47","0","0","0","250","24","0","0","",""
"18A.2","2019-20","Properties transferred to community housing","All people","All areas","Community housing","2022-23 dollars","Property transferred from state and territory housing authorities to community housing organisations","Value of property transferred","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1693.3","0","0","0","0","16.0","0","0","",""
"18A.2","2019-20","Properties transferred to community housing","All people","All areas","Community housing","","Property transferred from state and territory housing authorities to community housing organisations","Number of dwellings transferred","","","","","","State and territory governments (unpublished)","no.","4549","0","0","0","0","103","0","0","",""
"18A.2","2018-19","Properties transferred to community housing","All people","All areas","Community housing","2022-23 dollars","Property transferred from state and territory housing authorities to community housing organisations","Value of property transferred","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","3301.2","127.6","0","0","3.5","3.0","2.4","4.7","",""
"18A.2","2018-19","Properties transferred to community housing","All people","All areas","Community housing","","Property transferred from state and territory housing authorities to community housing organisations","Number of dwellings transferred","","","","","","State and territory governments (unpublished)","no.","8869","458","0","0","12","70","0","39","",""
"18A.3","2023","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","95765","64720","53010","32694","31577","4997","10827","4814","","298404"
"18A.3","2023","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3737","..","3226","..","1315","164","..","5586","","14028"
"18A.3","2023","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","53913","16363","11665","7978","12333","9715","1695","488","","114150"
"18A.3","2023","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","53329","13539","11614","6424","12023","9348","1343","488","","108108"
"18A.3","2022","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","96712","63987","52643","32034","31591","4999","10744","4890","","297600"
"18A.3","2022","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4120","..","3229","..","1350","164","..","5428","","14291"
"18A.3","2022","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","54292","16159","11524","7718","12430","9267","958","495","","112843"
"18A.3","2022","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","54098","12154","11495","7186","12121","8806","687","495","","107042"
"18A.3","2022","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3989","1864","5184","2698","681","96","..","1790","","16302"
"18A.3","2021","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","96728","63921","52195","31919","31938","7031","10859","4929","","299520"
"18A.3","2021","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4531","..","3216","..","1365","221","..","5381","","14714"
"18A.3","2021","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","53233","14996","11439","7997","12387","7019","970","478","","108519"
"18A.3","2021","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","52963","10905","11422","6638","12067","6717","690","478","","101880"
"18A.3","2021","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3611","1694","5236","2699","681","90","..","1803","","15814"
"18A.3","2020","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","96939","64072","51890","32409","32147","7050","10985","4911","","300403"
"18A.3","2020","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4560","..","3242","..","1388","218","..","5231","","14639"
"18A.3","2020","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","49509","14857","11054","8005","12151","6919","936","464","","103895"
"18A.3","2020","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","49312","10728","11049","6899","11830","6457","523","464","","97262"
"18A.3","2020","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","2869","1670","5238","2699","689","87","..","1801","","15053"
"18A.3","2019","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","100623","64428","51817","32905","32472","7037","10955","4954","","305191"
"18A.3","2019","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4591","..","3271","..","1414","218","..","5168","","14662"
"18A.3","2019","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","46557","15081","10941","7968","11622","6698","907","431","","100205"
"18A.3","2019","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","46250","10627","10941","6872","11284","6218","647","431","","93270"
"18A.3","2019","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3719","1612","5400","2711","697","81","..","1973","","16193"
"18A.3","2018","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","111341","64295","51413","33293","32686","7005","11181","5017","","316231"
"18A.3","2018","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4603","..","3292","..","1449","222","..","5120","","14686"
"18A.3","2018","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","35345","14486","11116","8062","11561","5980","895","374","","87819"
"18A.3","2018","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","34743","10341","11104","6961","11271","6056","677","374","","81527"
"18A.3","2018","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3461","1707","5224","2704","727","81","..","1862","","15766"
"18A.3","2017","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","110221","64170","51263","33836","37281","7065","11077","5000","","319913"
"18A.3","2017","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4608","..","3324","..","1734","223","..","5032","","14921"
"18A.3","2017","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","34398","14278","11512","7847","7484","6115","883","385","","82902"
"18A.3","2017","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","33837","10042","11490","6722","7134","6044","674","385","","76328"
"18A.3","2017","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3370","1720","5232","2649","735","76","..","2248","","16030"
"18A.3","2016","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","110174","64241","51188","33533","37852","7166","10917","4970","","320041"
"18A.3","2016","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4613","..","3344","..","1769","223","..","na","","9949"
"18A.3","2016","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","32266","14236","11679","7409","7472","6076","715","373","","80226"
"18A.3","2016","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","32647","9902","11737","6282","7173","6156","563","373","","74833"
"18A.3","2016","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3004","1939","5154","2670","692","76","..","1926","","15461"
"18A.3","2015","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","110214","64404","51248","33361","39428","7234","10833","4905","","321627"
"18A.3","2015","Descriptive data","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","","State owned and managed Indigenous housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","4641","..","3355","..","1817","222","..","na","","10035"
"18A.3","2015","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of Tenancy (Rental) Units","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","28214","13943","11580","6776","5941","6202","663","301","","73620"
"18A.3","2015","Descriptive data","All people","All areas","Community housing","","Community housing","Permanent dwellings; at 30 June","Number of dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","27858","10000","11586","6217","5712","6046","546","301","","68266"
"18A.3","2015","Descriptive data","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","","Indigenous community housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","3055","1964","5000","2575","1116","75","..","1858","","15643"
"18A.3","2014","Descriptive data","All people","All areas","Public housing","","Public housing","Permanent dwellings; at 30 June","Dwellings","","","","","AIHW (unpublished) National Housing Assistance Data Repository","no.","110805","64471","51368","33467","39422","8413","10848","5009","","323803"
