"Table_Number","Year","Measure","Age","Indigenous_Status","Remoteness","Special_Need","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"GA.1","2018-19","Recurrent expenditure","All ages","All people","Remote","","2021-22 dollars","Australian Government real expenditure","National Partnership payments","Remote housing","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","0","0","0","127.2","39.4","0","0","36.8","203.5"
"GA.1","2018-19","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","Total NHHA related expenditure","Total","","","","Derived from Australian Treasury Final Budget Outcome; ABS Australian National Accounts: National Income Expenditure and Product","$m","501.1","415.6","330.5","299.2","152.5","34.9","27.3","57.5","1818.4"
"GA.2","2019-20","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","46.7","42.0","44.9","35.6","29.9","30.8","27.7","32.9","42.0"
"GA.2","2019-20","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","5.6","8.3","7.8","9.4","7.0","7.4","13.5","9.6","3.1"
"GA.2","2019-20","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","215950","130305","163975","52286","34921","13997","4704","3467","618846"
"GA.2","2019-20","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","462833","310025","364815","146751","116976","45394","16960","10554","1473599"
"GA.2","2019-20","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","53.5","48.1","45.3","36.7","34.9","46.8","27.7","42.3","45.1"
"GA.2","2019-20","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","6.9","10.0","10.1","12.3","8.9","12.4","13.5","10.4","3.4"
"GA.2","2019-20","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","138593","109128","82365","42289","31615","6755","4704","3125","414594"
"GA.2","2019-20","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","258813","226996","181859","115281","90580","14446","16960","7384","918311"
"GA.2","2019-20","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","35.5","31.4","45.0","26.2","16.1","24.6","..","20.8","36.0"
"GA.2","2019-20","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","9.3","10.6","11.0","7.0","6.1","8.9","..","np","5.4"
"GA.2","2019-20","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","71738","24964","83598","8025","4177","7635","..","595","201218"
"GA.2","2019-20","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","202097","79444","185801","30626","25920","30999","..","2855","558396"
"GA.2","2017-18","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","48.3","43.9","40.0","46.6","32.4","24.2","42.7","41.4","43.1"
"GA.2","2017-18","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","5.4","5.4","6.0","6.3","5.9","5.4","8.5","13.9","2.4"
"GA.2","2017-18","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","231765","145770","142630","58352","39556","8899","9414","2678","639737"
"GA.2","2017-18","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","479676","332391","356840","125343","122116","36788","22069","6476","1484257"
"GA.2","2017-18","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","57.7","45.8","39.9","49.7","38.0","24.7","42.7","42.3","47.8"
"GA.2","2017-18","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","5.5","6.1","8.0","7.6","7.3","10.2","8.5","14.4","3.7"
"GA.2","2017-18","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","169691","112532","62044","48333","33458","3818","9414","1955","439602"
"GA.2","2017-18","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","294056","245839","155525","97172","88145","15459","22069","4627","919374"
"GA.2","2017-18","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","37.3","32.1","41.9","36.9","20.4","22.7","..","16.1","35.6"
"GA.2","2017-18","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","8.7","9.4","8.9","6.9","6.3","6.1","..","np","4.8"
"GA.2","2017-18","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","72287","29990","81471","9583","6896","4911","..","390","200762"
"GA.2","2017-18","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","193923","93390","194650","25960","33814","21656","..","2424","564258"
"GA.2","2015-16","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","51.8","47.0","35.8","49.0","36.9","23.4","35.6","40.6","44.3"
"GA.2","2015-16","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","6.4","5.9","4.9","6.7","4.9","4.3","13.1","15.4","2.7"
"GA.2","2015-16","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","227436","151840","111164","62577","50834","9109","6513","2950","622182"
"GA.2","2015-16","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","438858","323197","310922","127779","137918","38849","18298","7261","1405804"
"GA.2","2015-16","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","57.8","53.2","35.7","50.7","40.5","26.6","35.6","31.3","48.7"
"GA.2","2015-16","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","8.6","6.9","7.2","7.1","6.1","9.5","13.1","16.0","3.4"
"GA.2","2015-16","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","141275","120277","49412","52096","44173","4217","6513","1702","419576"
"GA.2","2015-16","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","244384","226086","138520","102799","108962","15866","18298","5431","862286"
"GA.2","2015-16","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","42.0","29.8","36.4","37.5","22.9","22.1","..","30.8","36.8"
"GA.2","2015-16","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","6.8","8.8","7.1","8.2","7.4","4.2","..","np","2.7"
"GA.2","2015-16","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","84062","28599","62151","10101","6732","5076","..","647","201316"
"GA.2","2015-16","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","200022","95905","170853","26923","29459","22984","..","2100","546770"
"GA.2","2013-14","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","48.2","40.0","46.9","45.5","31.8","28.8","36.5","42.8","43.7"
"GA.2","2013-14","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","4.1","5.9","4.2","9.5","5.9","3.9","9.0","16.5","2.6"
"GA.2","2013-14","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","200356","118374","148219","51293","36106","10448","5876","3296","573967"
"GA.2","2013-14","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","415969","296285","316316","112613","113573","36328","16104","7703","1314889"
"GA.2","2013-14","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","59.1","47.5","49.9","50.8","34.4","38.2","36.5","43.7","49.8"
"GA.2","2013-14","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","6.7","6.9","8.9","11.6","7.1","9.4","9.0","17.2","4.1"
"GA.2","2013-14","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","138655","93469","68373","43110","30241","5658","5876","2929","388310"
"GA.2","2013-14","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","234693","196981","137099","84903","87870","14821","16104","6697","779167"
"GA.2","2013-14","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","34.0","25.1","44.6","29.5","22.8","22.3","..","36.5","34.7"
"GA.2","2013-14","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","6.1","7.8","4.5","8.5","7.8","5.3","..","np","3.1"
"GA.2","2013-14","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","61701","24905","79846","8183","5865","4789","..","367","185656"
"GA.2","2013-14","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","181276","99303","179217","27710","25703","21507","..","1006","535722"
"GA.2","2011-12","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","39.7","41.8","43.9","38.1","30.5","30.4","30.7","30.0","39.7"
"GA.2","2011-12","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","4.7","5.1","4.7","7.2","5.7","5.2","10.2","12.6","2.5"
"GA.2","2011-12","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","179074","122855","122218","43373","32896","11941","5033","3061","520451"
"GA.2","2011-12","Low income rental households","All ages","All people","All areas","","","Lower income renter households","All areas","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","451240","294080","278224","113774","107927","39310","16411","10192","1311158"
"GA.2","2011-12","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","44.8","52.0","47.3","40.4","34.7","40.2","30.7","31.6","44.9"
"GA.2","2011-12","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","6.1","7.0","6.2","10.7","7.3","11.1","10.2","13.1","3.7"
"GA.2","2011-12","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","120724","97622","56145","34332","27345","7022","5033","2876","351099"
"GA.2","2011-12","Low income rental households","All ages","All people","Greater Capital city","","","Lower income renter households","Greater Capital City Statistical Area","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","269433","187667","118735","84877","78834","17450","16411","9109","782516"
"GA.2","2011-12","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Proportion","","","ABS (unpublished) Survey of Income and Housing Australia","%","32.1","23.7","41.4","31.3","19.1","22.5","..","17.1","32.0"
"GA.2","2011-12","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Proportion","","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","7.0","5.6","8.0","7.2","5.0","5.1","..","np","4.1"
"GA.2","2011-12","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","Paying more than 30% of income on housing costs","Number","","","ABS (unpublished) Survey of Income and Housing Australia","no.","58351","25233","66073","9041","5551","4919","..","185","169352"
"GA.2","2011-12","Low income rental households","All ages","All people","Rest of state/territory","","","Lower income renter households","Rest of state","","Total","","","ABS (unpublished) Survey of Income and Housing Australia","no.","181808","106413","159489","28897","29093","21860","..","1083","528642"
"GA.3","2019-20","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Proportion","","ABS (unpublished) Survey of Income and Housing Australia","%","58.0","50.2","52.9","45.1","40.6","36.8","61.3","56.6","52.5"
"GA.3","2019-20","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Proportion","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","6.9","9.2","8.2","12.7","9.8","8.0","19.5","8.9","3.1"
"GA.3","2019-20","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Number","","ABS (unpublished) Survey of Income and Housing Australia","no.","193776","122945","148837","45388","28627","11236","4578","3284","565584"
"GA.3","2019-20","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","","Total","","ABS (unpublished) Survey of Income and Housing Australia","no.","334220","245150","281232","100678","70545","30522","7472","5807","1077033"
"GA.3","2017-18","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Proportion","","ABS (unpublished) Survey of Income and Housing Australia","%","57.8","49.6","44.9","51.6","37.5","27.7","72.8","62.0","50.2"
"GA.3","2017-18","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Proportion","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","5.1","6.5","7.0","4.3","8.0","6.6","16.4","14.0","3.1"
"GA.3","2017-18","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Number","","ABS (unpublished) Survey of Income and Housing Australia","no.","193439","135659","121291","51148","28479","7090","8038","2101","546777"
"GA.3","2017-18","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","","Total","","ABS (unpublished) Survey of Income and Housing Australia","no.","334473","273682","270145","99078","75997","25634","11048","3386","1089618"
"GA.3","2015-16","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Proportion","","ABS (unpublished) Survey of Income and Housing Australia","%","58.8","54.3","43.3","61.4","46.1","28.7","60.9","91.0","52.2"
"GA.3","2015-16","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Proportion","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","6.8","6.7","5.5","6.9","7.0","5.2","17.2","4.3","3.2"
"GA.3","2015-16","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Number","","ABS (unpublished) Survey of Income and Housing Australia","no.","190366","137644","101560","58618","42019","7539","6460","2556","543797"
"GA.3","2015-16","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","","Total","","ABS (unpublished) Survey of Income and Housing Australia","no.","323582","253581","234501","95426","91139","26273","10602","2809","1041042"
"GA.3","2013-14","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Proportion","","ABS (unpublished) Survey of Income and Housing Australia","%","61.2","46.1","53.6","60.4","45.3","36.9","66.2","64.4","53.7"
"GA.3","2013-14","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Proportion","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","5.0","7.2","4.7","11.4","7.9","5.1","17.6","22.1","3.2"
"GA.3","2013-14","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Number","","ABS (unpublished) Survey of Income and Housing Australia","no.","173241","104259","129014","47855","33442","9305","4678","2734","504528"
"GA.3","2013-14","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","","Total","","ABS (unpublished) Survey of Income and Housing Australia","no.","282845","226259","240589","79250","73779","25234","7063","4244","939262"
"GA.3","2011-12","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Proportion","","ABS (unpublished) Survey of Income and Housing Australia","%","51.4","50.1","53.9","50.1","40.9","37.6","59.7","60.1","50.5"
"GA.3","2011-12","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Proportion","95%CI","ABS (unpublished) Survey of Income and Housing Australia","% (±)","5.6","5.8","4.8","10.3","9.0","5.4","15.0","18.5","2.5"
"GA.3","2011-12","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","Paying more than 30% of income on housing costs","Number","","ABS (unpublished) Survey of Income and Housing Australia","no.","151498","115590","116804","38007","26958","10181","4146","2773","465956"
"GA.3","2011-12","Low income rental households","All ages","All people","All areas","","","Lower income private renter households","","","","Total","","ABS (unpublished) Survey of Income and Housing Australia","no.","294976","230498","216826","75926","65963","27102","6945","4615","922850"
"GA.4","2019-20","Housing affordability","All ages","All people","All areas","","","Homes sold or built that are affordable by low and moderate income households","Per 1000 low and moderate income households","","","","","CoreLogic (unpublished); ABS (unpublished) Survey of Income and Housing Australia","rate","25.1","25.5","44.9","45.4","35.3","49.0","55.1","39.8","33.2"
"GA.4","2017-18","Housing affordability","All ages","All people","All areas","","","Homes sold or built that are affordable by low and moderate income households","Per 1000 low and moderate income households","","","","","CoreLogic (unpublished); ABS (unpublished) Survey of Income and Housing Australia","rate","17.4","39.9","46.8","52.8","45.8","75.3","40.7","42.3","36.8"
"GA.4","2015-16","Housing affordability","All ages","All people","All areas","","","Homes sold or built that are affordable by low and moderate income households","Per 1000 low and moderate income households","","","","","CoreLogic (unpublished); ABS (unpublished) Survey of Income and Housing Australia","rate","21.8","39.6","56.0","28.8","30.0","53.7","63.2","35.1","36.1"
"GA.4","2013-14","Housing affordability","All ages","All people","All areas","","","Homes sold or built that are affordable by low and moderate income households","Per 1000 low and moderate income households","","","","","CoreLogic (unpublished); ABS (unpublished) Survey of Income and Housing Australia","rate","37.3","40.0","66.1","30.7","50.1","55.8","62.2","55.1","45.0"
"GA.4","2011-12","Housing affordability","All ages","All people","All areas","","","Homes sold or built that are affordable by low and moderate income households","Per 1000 low and moderate income households","","","","","CoreLogic (unpublished); ABS (unpublished) Survey of Income and Housing Australia","rate","31.5","28.0","20.4","23.2","27.8","37.5","37.1","36.5","27.5"
"GA.5","2021-22","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","Commonwealth Rent Assistance (CRA)","","","","","Derived from Australian Government Department of Social Services (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1595.3","1063.1","1249.8","408.6","351.0","134.6","36.3","26.4","4865.4"
"GA.5","2020-21","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","Commonwealth Rent Assistance (CRA)","","","","","Derived from Australian Government Department of Social Services (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1764.2","1225.2","1402.1","478.3","387.6","137.7","42.8","32.1","5470.2"
"GA.5","2019-20","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","Commonwealth Rent Assistance (CRA)","","","","","Derived from Australian Government Department of Social Services (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1563.6","1056.5","1249.6","429.9","355.8","129.0","35.9","27.0","4847.4"
"GA.5","2018-19","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","Commonwealth Rent Assistance (CRA)","","","","","Derived from Australian Government Department of Social Services (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1482.9","1025.4","1205.9","410.2","353.7","130.4","34.8","24.4","4668.1"
"GA.5","2017-18","Recurrent expenditure","All ages","All people","All areas","","2021-22 dollars","Australian Government real expenditure","Commonwealth Rent Assistance (CRA)","","","","","Derived from Australian Government Department of Social Services (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1511.4","1060.8","1236.7","413.3","365.1","134.9","37.1","23.8","4783.2"
