LTHP TYPE OF LONG-TERM HEALTH CONDITION,STATE,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Dementia (including Alzheimer's),Queensland,6.0,7.0,19.0,18.0,3.0,30.0,57.0,0.0,25.0,37744.0,37895.0,2021
Dementia (including Alzheimer's),South Australia,0.0,0.0,3.0,7.0,0.0,3.0,4.0,0.0,0.0,17279.0,17306.0,2021
Dementia (including Alzheimer's),Western Australia,0.0,34.0,0.0,11.0,0.0,9.0,13.0,5.0,9.0,17526.0,17608.0,2021
Dementia (including Alzheimer's),Tasmania,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4365.0,4376.0,2021
Dementia (including Alzheimer's),Northern Territory,0.0,10.0,3.0,0.0,0.0,22.0,16.0,0.0,0.0,831.0,881.0,2021
Dementia (including Alzheimer's),Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2627.0,2633.0,2021
Dementia (including Alzheimer's),Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,2021
Diabetes (excluding gestational diabetes),New South Wales,36.0,110.0,184.0,292.0,19.0,461.0,973.0,47.0,246.0,385687.0,388055.0,2021
Diabetes (excluding gestational diabetes),Victoria,5.0,194.0,100.0,263.0,23.0,277.0,610.0,17.0,178.0,299233.0,300896.0,2021
Diabetes (excluding gestational diabetes),Queensland,45.0,138.0,222.0,160.0,23.0,278.0,536.0,81.0,395.0,232376.0,234246.0,2021
Diabetes (excluding gestational diabetes),South Australia,8.0,62.0,58.0,32.0,10.0,76.0,170.0,4.0,58.0,100624.0,101099.0,2021
Diabetes (excluding gestational diabetes),Western Australia,17.0,65.0,87.0,16.0,0.0,167.0,230.0,16.0,94.0,116870.0,117569.0,2021
Diabetes (excluding gestational diabetes),Tasmania,0.0,9.0,19.0,15.0,3.0,21.0,32.0,8.0,21.0,28022.0,28158.0,2021
Diabetes (excluding gestational diabetes),Northern Territory,39.0,118.0,38.0,0.0,7.0,510.0,281.0,10.0,21.0,10110.0,11127.0,2021
Diabetes (excluding gestational diabetes),Australian Capital Territory,0.0,14.0,11.0,3.0,0.0,4.0,18.0,0.0,0.0,17325.0,17380.0,2021
Diabetes (excluding gestational diabetes),Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,190.0,2021
Heart disease (including heart attack or angina),New South Wales,24.0,70.0,182.0,267.0,18.0,175.0,392.0,47.0,216.0,314230.0,315621.0,2021
Heart disease (including heart attack or angina),Victoria,10.0,120.0,101.0,194.0,22.0,117.0,255.0,12.0,162.0,238882.0,239861.0,2021
Heart disease (including heart attack or angina),Queensland,39.0,110.0,227.0,122.0,23.0,190.0,286.0,74.0,352.0,218006.0,219428.0,2021
Heart disease (including heart attack or angina),South Australia,3.0,30.0,48.0,18.0,10.0,32.0,58.0,0.0,52.0,81510.0,81756.0,2021
Heart disease (including heart attack or angina),Western Australia,11.0,51.0,72.0,13.0,9.0,78.0,91.0,29.0,92.0,94587.0,95034.0,2021
Heart disease (including heart attack or angina),Tasmania,0.0,5.0,21.0,13.0,0.0,8.0,14.0,5.0,22.0,24717.0,24805.0,2021
Heart disease (including heart attack or angina),Northern Territory,32.0,100.0,40.0,0.0,8.0,582.0,269.0,5.0,16.0,7362.0,8418.0,2021
Heart disease (including heart attack or angina),Australian Capital Territory,0.0,15.0,14.0,5.0,0.0,3.0,14.0,0.0,0.0,13965.0,14016.0,2021
Heart disease (including heart attack or angina),Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,167.0,2021
Kidney disease,New South Wales,3.0,24.0,40.0,77.0,4.0,62.0,175.0,10.0,58.0,76592.0,77045.0,2021
Kidney disease,Victoria,0.0,55.0,27.0,53.0,9.0,38.0,99.0,6.0,33.0,56669.0,56988.0,2021
Kidney disease,Queensland,8.0,32.0,51.0,31.0,9.0,45.0,90.0,22.0,78.0,47956.0,48330.0,2021
Kidney disease,South Australia,3.0,16.0,10.0,7.0,5.0,15.0,16.0,4.0,16.0,16005.0,16096.0,2021
Kidney disease,Western Australia,0.0,17.0,17.0,8.0,0.0,32.0,33.0,8.0,26.0,20275.0,20408.0,2021
Kidney disease,Tasmania,0.0,0.0,10.0,3.0,0.0,4.0,9.0,0.0,10.0,6237.0,6269.0,2021
Kidney disease,Northern Territory,18.0,64.0,12.0,0.0,0.0,129.0,83.0,0.0,4.0,2100.0,2412.0,2021
Kidney disease,Australian Capital Territory,0.0,6.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4164.0,4183.0,2021
Kidney disease,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,2021
Lung condition (including COPD or emphysema),New South Wales,28.0,49.0,132.0,182.0,23.0,72.0,195.0,37.0,200.0,134628.0,135553.0,2021
Lung condition (including COPD or emphysema),Victoria,0.0,110.0,76.0,139.0,16.0,43.0,114.0,11.0,143.0,95515.0,96172.0,2021
Lung condition (including COPD or emphysema),Queensland,23.0,80.0,159.0,109.0,18.0,66.0,165.0,36.0,303.0,107318.0,108273.0,2021
Lung condition (including COPD or emphysema),South Australia,0.0,24.0,37.0,18.0,5.0,14.0,38.0,8.0,31.0,35711.0,35883.0,2021
Lung condition (including COPD or emphysema),Western Australia,3.0,22.0,53.0,6.0,0.0,28.0,32.0,13.0,61.0,41996.0,42218.0,2021
Lung condition (including COPD or emphysema),Tasmania,0.0,13.0,14.0,17.0,4.0,5.0,8.0,0.0,20.0,13747.0,13833.0,2021
Lung condition (including COPD or emphysema),Northern Territory,9.0,32.0,15.0,0.0,3.0,55.0,33.0,6.0,5.0,2993.0,3152.0,2021
Lung condition (including COPD or emphysema),Australian Capital Territory,0.0,11.0,8.0,3.0,0.0,0.0,4.0,0.0,0.0,5938.0,5968.0,2021
Lung condition (including COPD or emphysema),Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,2021
Mental health condition (including depression or anxiety),New South Wales,70.0,860.0,819.0,881.0,112.0,517.0,1300.0,79.0,504.0,640497.0,645650.0,2021
Mental health condition (including depression or anxiety),Victoria,23.0,1509.0,583.0,909.0,160.0,351.0,853.0,28.0,340.0,563977.0,568731.0,2021
Mental health condition (including depression or anxiety),Queensland,68.0,747.0,911.0,532.0,98.0,456.0,903.0,106.0,729.0,494280.0,498831.0,2021
Mental health condition (including depression or anxiety),South Australia,10.0,477.0,326.0,106.0,45.0,78.0,236.0,17.0,115.0,173321.0,174729.0,2021
Mental health condition (including depression or anxiety),Western Australia,35.0,233.0,349.0,87.0,18.0,127.0,204.0,37.0,172.0,219673.0,220925.0,2021
Mental health condition (including depression or anxiety),Tasmania,4.0,156.0,154.0,72.0,7.0,65.0,86.0,10.0,69.0,63059.0,63681.0,2021
Mental health condition (including depression or anxiety),Northern Territory,21.0,115.0,53.0,0.0,9.0,175.0,106.0,8.0,12.0,12915.0,13408.0,2021
Mental health condition (including depression or anxiety),Australian Capital Territory,0.0,123.0,70.0,35.0,4.0,12.0,40.0,0.0,0.0,45098.0,45378.0,2021
Mental health condition (including depression or anxiety),Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,209.0,2021
Stroke,New South Wales,4.0,26.0,33.0,69.0,4.0,69.0,115.0,14.0,73.0,72689.0,73100.0,2021
Stroke,Victoria,0.0,43.0,17.0,63.0,10.0,24.0,110.0,0.0,51.0,59010.0,59331.0,2021
Stroke,Queensland,9.0,29.0,61.0,50.0,4.0,38.0,76.0,19.0,107.0,49985.0,50373.0,2021
Stroke,South Australia,0.0,14.0,20.0,4.0,0.0,4.0,15.0,0.0,11.0,18620.0,18689.0,2021
Stroke,Western Australia,3.0,18.0,15.0,8.0,0.0,8.0,11.0,4.0,24.0,21523.0,21617.0,2021
Stroke,Tasmania,0.0,0.0,9.0,0.0,0.0,4.0,4.0,0.0,5.0,6753.0,6771.0,2021
Stroke,Northern Territory,3.0,13.0,5.0,0.0,0.0,21.0,22.0,0.0,4.0,1402.0,1474.0,2021
Stroke,Australian Capital Territory,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3212.0,3222.0,2021
Stroke,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,2021
Any other long-term health condition(s),New South Wales,47.0,336.0,476.0,493.0,57.0,619.0,1425.0,58.0,263.0,621900.0,625676.0,2021
Any other long-term health condition(s),Victoria,12.0,693.0,324.0,434.0,70.0,342.0,839.0,25.0,207.0,513136.0,516081.0,2021
Any other long-term health condition(s),Queensland,68.0,367.0,565.0,242.0,60.0,401.0,790.0,114.0,470.0,435020.0,438105.0,2021
Any other long-term health condition(s),South Australia,11.0,171.0,171.0,42.0,25.0,124.0,258.0,9.0,74.0,155198.0,156085.0,2021
Any other long-term health condition(s),Western Australia,32.0,103.0,204.0,43.0,10.0,167.0,244.0,34.0,107.0,195995.0,196951.0,2021
Any other long-term health condition(s),Tasmania,3.0,42.0,55.0,26.0,0.0,31.0,64.0,6.0,33.0,48857.0,49133.0,2021
Any other long-term health condition(s),Northern Territory,52.0,93.0,42.0,0.0,9.0,486.0,226.0,6.0,10.0,14780.0,15700.0,2021
Any other long-term health condition(s),Australian Capital Territory,0.0,63.0,38.0,13.0,0.0,17.0,35.0,0.0,4.0,43741.0,43906.0,2021
Any other long-term health condition(s),Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,295.0,2021
No long-term health condition(s),New South Wales,168.0,1374.0,2115.0,4144.0,145.0,11521.0,23427.0,335.0,776.0,4872474.0,4916486.0,2021
No long-term health condition(s),Victoria,41.0,2977.0,1262.0,3527.0,111.0,7325.0,15266.0,145.0,625.0,3919981.0,3951261.0,2021
No long-term health condition(s),Queensland,409.0,1694.0,2659.0,1059.0,202.0,5729.0,10496.0,603.0,1064.0,2992119.0,3016034.0,2021
No long-term health condition(s),South Australia,20.0,975.0,655.0,251.0,95.0,1819.0,3494.0,87.0,176.0,1021113.0,1028689.0,2021
No long-term health condition(s),Western Australia,157.0,462.0,1003.0,217.0,67.0,2131.0,4052.0,268.0,365.0,1625711.0,1634443.0,2021
No long-term health condition(s),Tasmania,14.0,196.0,294.0,79.0,16.0,539.0,1149.0,37.0,83.0,301138.0,303541.0,2021
No long-term health condition(s),Northern Territory,215.0,614.0,409.0,56.0,16.0,7462.0,3855.0,94.0,101.0,149982.0,162809.0,2021
No long-term health condition(s),Australian Capital Territory,0.0,349.0,125.0,59.0,6.0,370.0,852.0,0.0,9.0,274667.0,276438.0,2021
No long-term health condition(s),Other Territories,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,2986.0,3007.0,2021
Not stated,New South Wales,620.0,2340.0,275.0,2617.0,1089.0,911.0,1470.0,29.0,257.0,640693.0,650297.0,2021
Not stated,Victoria,944.0,2494.0,194.0,3307.0,1247.0,435.0,924.0,3.0,151.0,474239.0,483937.0,2021
Not stated,Queensland,1421.0,1082.0,338.0,856.0,68.0,570.0,867.0,43.0,348.0,461463.0,467058.0,2021
Not stated,South Australia,275.0,770.0,96.0,228.0,69.0,163.0,210.0,6.0,47.0,119899.0,121747.0,2021
Not stated,Western Australia,2077.0,667.0,410.0,238.0,6.0,255.0,357.0,11.0,161.0,232613.0,236797.0,2021
Not stated,Tasmania,207.0,121.0,33.0,59.0,0.0,37.0,62.0,7.0,23.0,41921.0,42474.0,2021
Not stated,Northern Territory,298.0,759.0,65.0,4.0,0.0,546.0,245.0,16.0,45.0,34080.0,36053.0,2021
Not stated,Australian Capital Territory,56.0,308.0,19.0,33.0,0.0,28.0,59.0,0.0,8.0,26167.0,26676.0,2021
Not stated,Other Territories,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1207.0,1212.0,2021
Total,New South Wales,956.0,5035.0,4088.0,8843.0,1423.0,14632.0,29956.0,642.0,2331.0,7984621.0,8052530.0,2021
Total,Victoria,1022.0,7820.0,2531.0,8578.0,1583.0,9068.0,19334.0,257.0,1716.0,6408081.0,6459990.0,2021
Total,Queensland,2051.0,4119.0,4981.0,2972.0,488.0,7839.0,14347.0,1088.0,3314.0,5154551.0,5195745.0,2021
Total,South Australia,323.0,2497.0,1322.0,659.0,255.0,2352.0,4530.0,127.0,501.0,1760688.0,1773257.0,2021
Total,Western Australia,2322.0,1604.0,2143.0,637.0,110.0,2935.0,5334.0,430.0,1027.0,2652822.0,2669363.0,2021
Total,Tasmania,231.0,535.0,588.0,257.0,29.0,709.0,1433.0,79.0,240.0,548765.0,552867.0,2021
Total,Northern Territory,666.0,1815.0,670.0,67.0,42.0,9904.0,5060.0,156.0,218.0,242719.0,261309.0,2021
Total,Australian Capital Territory,59.0,867.0,274.0,134.0,6.0,447.0,1024.0,0.0,26.0,449481.0,452302.0,2021
Total,Other Territories,0.0,0.0,4.0,0.0,0.0,7.0,18.0,0.0,0.0,5394.0,5425.0,2021
